true_class,predicted_class,predicted_value
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,1.0
Sitting In Wheelchair,Sitting In Wheelchair,0.0
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.53
Sitting In Wheelchair,Sitting In Wheelchair,0.47
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.53
Sitting In Wheelchair,Transfer To Bed,0.47
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.57
Sitting In Wheelchair,Sitting In Wheelchair,0.43
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.64
Sitting In Wheelchair,Transfer To Bed,0.36
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.78
Sitting In Wheelchair,Sitting In Wheelchair,0.22
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.55
Sitting In Wheelchair,Transfer To Bed,0.45
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.95
Sitting In Wheelchair,Sitting In Wheelchair,0.05
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.69
Sitting In Wheelchair,Sitting In Wheelchair,0.31
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.54
Sitting In Wheelchair,Sitting In Wheelchair,0.45
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.55
Sitting In Wheelchair,Transfer To Bed,0.45
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Transfer To Bed,0.73
Sitting In Wheelchair,Sitting In Wheelchair,0.27
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.64
Sitting In Wheelchair,Transfer To Bed,0.36
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.61
Sitting In Wheelchair,Transfer To Bed,0.39
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.61
Sitting In Wheelchair,Sitting In Wheelchair,0.39
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.79
Sitting In Wheelchair,Transfer To Bed,0.21
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.81
Sitting In Wheelchair,Sitting In Wheelchair,0.19
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.62
Sitting In Wheelchair,Sitting In Wheelchair,0.38
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Doctor Visit,Transfer To Bed,0.49
Doctor Visit,Therapy,0.15
Doctor Visit,Doctor Visit,0.15
Doctor Visit,Talking on the Phone,0.14
Doctor Visit,Eating,0.05
Doctor Visit,Watching TV,0.01
Doctor Visit,Nurse Visit,0.0
Doctor Visit,Lying In Bed,0.0
Doctor Visit,Asleep-Trying to sleep,0.0
Doctor Visit,Sitting In Wheelchair,0.0
Doctor Visit,EVS Visit,0.0
Doctor Visit,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Family,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Talking on the Phone,1.0
Talking on the Phone,Eating,0.0
Talking on the Phone,Transfer To Bed,0.0
Talking on the Phone,Therapy,0.0
Talking on the Phone,Watching TV,0.0
Talking on the Phone,Nurse Visit,0.0
Talking on the Phone,Asleep-Trying to sleep,0.0
Talking on the Phone,Sitting In Wheelchair,0.0
Talking on the Phone,Lying In Bed,0.0
Talking on the Phone,EVS Visit,0.0
Talking on the Phone,Doctor Visit,0.0
Talking on the Phone,Family,0.0
Family,Family,0.97
Family,Transfer To Bed,0.03
Family,Therapy,0.0
Family,Eating,0.0
Family,Talking on the Phone,0.0
Family,Watching TV,0.0
Family,Nurse Visit,0.0
Family,Lying In Bed,0.0
Family,Asleep-Trying to sleep,0.0
Family,Sitting In Wheelchair,0.0
Family,EVS Visit,0.0
Family,Doctor Visit,0.0
Family,Family,0.98
